yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF7ER	Entry
818390	Q96247
20289	Q53ZC3
20289	Q64124
79944	Q9H9P8
818397	F4IS08
818397	F4IS11
818397	Q0WS06
21869	P50220
21869	Q6PFE0
10196	O60678
10196	Q8WUV3
10197	A0A024R203
10197	B3KQ25
10197	P61289
10197	Q6MZZ1
10197	V9HWJ8
10194	A7YF73
10194	Q6ZSZ6
828267	A0A178UT97
828267	Q9FEG2
828260	Q67YU2
828260	Q9SVS5
10193	A0A024RB33
10193	Q9H4P4
10190	O14530
29753	P62260
2540190	O94335
2540191	O74762
2540192	Q9Y810
2540193	O94619
828268	Q8W586
10198	Q99550
10199	O00566
3354996	Q9W5Q1
2541822	Q09921
3354994	P25991
829624	A0A178VXD8
829624	A0A1P8B7X4
829624	P0DH92
829624	P0DH93
829624	P0DH94
2541827	P87110
2541826	Q09812
2541824	O13997
40933	A0A0B4LGV1
40933	Q9VHY6
40932	Q8SXF0
40935	A0A0B4K6L4
40935	Q27601
40934	B7Z0V1
40934	Q1LZ37
40934	Q9VHY5
40937	D4G7A6
40937	Q8T053
829622	Q945M1
1128	P11229
1128	Q53XZ3
1129	A4D1Q0
1129	P08172
1129	Q6SL56
1129	Q6SL59
1129	Q86SJ1
1628	Q10586
819724	A0A178VKY6
819724	A0A1I9LPD2
819724	Q9M9W3
1120	A0A024R4X4
1120	Q9Y259
1121	A8K545
1121	B4DRL9
1121	P24386
1122	P26374
1123	P15882
1124	B3VCF4
1124	B3VCF5
1124	B3VCF6
1124	B3VCF9
1124	B7Z1V0
1124	B7Z1W9
1124	B7Z215
1124	B7Z232
1124	P52757
826391	A0A178UTQ8
826391	Q9STN3
2540442	O74776
2540443	O74807
2540441	Q9URM2
2540447	P58234
2540449	O74801
179862	Q9XVJ5
818538	Q8GWD5
3885565	Q8SXX1
2539479	O74718
444350	Q6GNH1
2539478	O59805
395207	Q8AYS7
22224	P52479
838622	A0A178WAZ3
838622	P42699
492520	Q5U3G0
843030	A0A178WDZ5
843030	Q9ZW96
8516	B4DN28
8516	P53708
8517	A0A087X1B1
8517	Q9Y6K9
8514	A0A024R4E3
8514	B2R776
8514	Q13303
8515	B4E282
8515	O75578
8513	P07098
8510	O75900
64976	Q9NQ50
261610	B7Z006
261610	Q8IA42
268882	Q8K3B1
8518	B3KNB2
8518	B4E3I9
8518	F5H2T0
8518	O95163
8518	Q4LE38
8518	Q8N516
8519	A0A024R210
8519	P13164
283629	Q6SA08
2539473	Q9UR24
12848	P61202
12848	Q3V3N6
2539472	O59813
12842	P11087
12843	Q01149
12843	Q3TX57
12847	Q8BTF0
12847	Q8CIE6
50463	Q9VJB2
843993	A0A178W9S8
843993	Q9C9J8
2539470	O74895
50466	Q9VJ49
50467	Q9VJ48
174364	Q22469
84276	B2R7Q3
84276	Q9BSH3
257019	A2A2Y4
851174	Q06208
2539476	O59795
28084	A2A4J8
28084	A2A4K0
28084	Q9CQ80
2539475	O74940
2542641	P48010
28080	Q9DB20
84275	Q9BSK2
126123	Q6UXV1
28088	Q99LF4
816230	F4IMH3
816231	Q7XJL2
318883	Q8IPY9
22627	P62259
22627	Q5SS40
2541677	P36622
22629	P68510
22628	A8IP69
22628	P61982
189157	O45003
2541674	Q9UTJ2
403980	P33724
811538	Q8I4S8
26533	A0A126GWE3
26533	Q8NGC4
29968	A0A024R222
29968	A0A024R280
29968	Q9Y617
230233	Q7TT37
52822	A0A0G2JFT8
52822	Q9D394
818489	Q9ZV05
178696	Q9N4Q7
2541311	O94258
2541310	Q9HDW0
2541313	P37818
201158	Q96ET8
2541315	Q9C0W1
2541670	Q09766
2541317	Q9HDV6
2541316	Q9HDV8
2541319	P41003
2541318	Q9P7X7
827087	A0A178V3W1
827087	O23298
192213	P28818
192213	Q5BJV1
192212	Q3UUY6
839253	A0A178WBE7
839253	A0A178WDH9
839253	A0A1P8AT60
839253	A0A1P8AT62
839253	F4HU55
33427	Q9VQC0
813444	Q8I2Y5
214568	A2AT48
214568	Q3V037
178698	G5EBK5
29967	Q59H02
29967	Q9Y561
816580	A0A178VZC8
816580	Q9SIV2
816581	A0A178VQF9
816581	A0A178VS76
816581	A0A178VU02
816581	A0A1P8B0U7
816581	Q93ZJ3
29966	Q13033
2542644	Q9P4W1
843334	O04547
843337	A0A178WHR6
843337	O04544
29965	Q9H305
26289	Q9Y6K8
26287	A0A0A0MRN9
26287	Q5T457
26287	Q9GZV1
26286	A0A024R4U0
26286	Q9NP61
26285	P56750
26284	O75616
26281	Q9NP95
26280	Q9NP60
93107	Q32MC1
93107	Q547S7
93107	Q8TDN1
93100	Q6XQN6
827081	A0A1P8B8A2
827081	F4JVE9
840976	A0A178WFN7
840976	Q8LBX7
840977	Q84VY3
93109	Q2T9K0
104248	G3X8Q1
104248	Q6PFH4
104248	Q80X22
55652	Q6P1K1
55653	Q8TDM0
55650	Q9NUD9
55651	J3QSY4
55651	Q9NX24
