NP_005507.3	Q6DU44
NP_061823.2	P30511
NP_061823.2	Q5JZ47
NP_002118.1	P17693
NP_002118.1	Q6DU14
NP_002108.4	P10321
NP_002108.4	Q6R739
NP_002108.4	Q95HC2
NP_002256.2	Q14974
NP_006382.1	B3KNG9
NP_006382.1	O95373
NP_006537.3	Q9NZI8
NP_006538.2	O00425
NP_004506.2	F4ZW62
NP_004506.2	Q12905
NP_004506.2	Q53FG3
NP_005521.1	P50213
NP_002152.2	P41252
NP_002152.2	Q6P0M4
NP_002152.2	Q7L4K8
NP_008974.5	Q13601
NP_573566.2	E5KNY5
NP_573566.2	P42704
NP_060979.2	Q96AG4
NP_064502.9	Q9P2J5
NP_005557.1	P00338
NP_005557.1	V9HWB9
NP_004448.2	A0A024R497
NP_004448.2	B3KMA6
NP_004448.2	O95573
NP_000230.1	B2R4C5
NP_000230.1	P61626
NP_006293.2	Q13724
NP_061322.2	A0A0R4J2E8
NP_061322.2	P43243
NP_061322.2	Q9H4N1
NP_003553.2	Q02978
NP_003553.2	Q6IBH0
NP_055335.2	Q9BQG0
NP_060014.2	A3F769
NP_060014.2	O15226
NP_031389.3	A0A0S2Z4Z9
NP_031389.3	Q15233
NP_004550.2	P67809
NP_004719.2	Q9NR30
NP_005372.2	A0A024R4A0
NP_005372.2	B3KM80
NP_005372.2	P19338
NP_002511.1	A0A0S2Z491
NP_002511.1	P06748
NP_000265.1	A0A140VJQ4
NP_000265.1	P04181
NP_060422.4	Q96EY7
NP_004896.1	P30041
NP_004896.1	V9HWC7
NP_000405.1	A0A0S2Z4J1
NP_000405.1	B2R659
NP_000405.1	P51659
NP_055569.1	P48651
NP_005023.2	P13797
NP_002559.2	A0A024R9C1
NP_002559.2	P11940
NP_004634.1	Q86U42
NP_003810.1	Q13310
NP_112179.2	Q6UN15
NP_060362.3	O75400
NP_060362.3	Q05C41
NP_006436.3	Q6P2Q9
NP_001349.2	O43143
NP_006377.2	Q92841
NP_004809.2	A0A024R0Z3
NP_004809.2	B3KY11
NP_004809.2	Q9BUQ8
NP_060365.7	Q96GQ7
NP_004387.1	P17844
NP_002625.1	A8K401
NP_002625.1	P35232
NP_002625.1	Q53FV0
NP_001138303.1	Q99623
NP_037468.1	B3KME8
NP_037468.1	B3KNF6
NP_037468.1	P61619
NP_055781.2	Q7L2E3
NP_057103.2	Q9Y383
NP_000916.2	P11177
NP_002645.3	P14618
NP_002645.3	V9HWB8
NP_003861.1	A0A024RC65
NP_003861.1	P46940
NP_006561.1	Q7L523
NP_057215.3	P61026
NP_004574.2	A0A024R1U4
NP_004574.2	P51148
NP_005361.2	A0A024R7I3
NP_005361.2	P61006
NP_006089.1	E9KL35
NP_006089.1	P63244
NP_002902.2	A0A024R7L5
NP_002902.2	Q92900
NP_075386.1	Q9BZI7
NP_597709.2	E9PAU2
NP_597709.2	Q8IY67
NP_002130.2	P38159
NP_002958.2	Q15424
NP_008855.1	Q07955
NP_006616.1	O75494
NP_005617.2	Q08170
NP_001026854.1	Q16629
NP_001226.2	A0A024R5K8
NP_001226.2	P50454
NP_073591.2	Q9H9B4
NP_067026.3	Q549N5
NP_067026.3	Q9Y5M8
NP_055045.2	Q9UHB9
NP_008878.3	O76094
NP_008878.3	V9HWK0
NP_000692.2	P05023
NP_003118.2	Q13813
NP_004631.1	A0A024RCM3
NP_004631.1	Q13838
NP_036565.2	B4DGZ4
NP_036565.2	O75533
NP_006833.2	Q13435
NP_005841.1	B3KUJ0
NP_005841.1	Q15427
NP_005057.1	P23246
NP_005057.1	Q86VG2
NP_004125.3	P38646
NP_006297.2	Q14683
NP_006297.2	Q68EN4
NP_031401.1	A0A024R4E2
NP_031401.1	Q13148
NP_031401.1	Q9H256
NP_110379.2	P17987
NP_006422.1	P78371
NP_006422.1	V9HW96
NP_006421.2	P50991
NP_001075019.1	Q8NI27
NP_005773.3	E9PB61
NP_005773.3	Q86V81
NP_005753.1	Q13263
NP_006000.2	Q71U36
NP_005991.1	P68366
NP_005137.1	O43290
NP_054733.2	O75643
NP_057479.2	Q9P035
NP_006169.2	P46459
NP_003371.2	P08670
NP_003371.2	V9HWE1
NP_004682.2	P61421
NP_057191.2	Q05D65
NP_057191.2	Q96KR1
NP_000367.1	F1D8P8
NP_000367.1	P11473
NP_003552.1	O15496
NP_065390.1	P25963
NP_066024.1	A8K9N1
NP_066024.1	Q9H227
NP_000143.2	P10253
NP_938148.1	Q14697
NP_938148.1	V9HWJ0
NP_937784.2	Q8TET4
NP_065995.1	Q9HCG7
NP_056007.1	Q9NQ66
